english|french
bee on a stick|Abeille sur un bâton
beef fillet|Filet de bœuf
beehive|Ruche
beekeeper's boots|Bottes d'apiculteur
beekeeper's gloves|Gants d'apiculteur
beekeeper's hat|Chapeau d'apiculteur
beekeeper's legs|Jambes d'apiculteur
beekeeper's top|Haut d'apiculteur
beer|Bière
beer barrel|Fût de bière
beer belly sweater|Pull « bedaine de bière »
beer glass|Verre à bière
beer glass of water|Verre à bière rempli d'eau
beer soaked hand|Main trempée dans la bière
beer tankard|Chope à bière
beginner hidey hole|Cachette pour débutants
beginner wand|Baguette de débutant
beige pumpkin|Citrouille beige
bell bauble|Boule de cloche
bell jar|Cloche en verre
bell-pull|Cordon de cloche
belladonna seed|Graine de belladone
bellator icon|Icône Bellator
bellator ring|Anneau Bellator
bellator vestige|Vestige Bellator
belle's folly|Folie de Belle
bells|Clochettes
belt buckle|Boucle de ceinture
bench with lathe|Établi avec tour
bench with vice|Établi avec étau
beret mask|Masque de béret
berserker helm|Casque de berserker
berserker icon|Icône berserker
berserker necklace|Collier berserker
berserker necklace ornament kit|Kit d'ornements pour collier berserker
berserker ring|Bague berserker
bert's rota|Rota de Bert
bervirius notes|Notes de Bervirius
bethan's poetry scroll|Parchemin de poésie de Bethan
betty's notes|Notes de Betty
big banana|Grosse banane
big bass|Gros bar
big bonemeal|Grosse farine d'os
big bones|Gros os
big book of bangs|Grand livre des bangs
big bucket|Grand seau
big bucket of camel milk|Grand seau de lait de chamelle
big bucket of frozen camel milk|Grand seau de lait de chamelle congelé
big fishing net|Grand filet de pêche
big frog leg|Grande cuisse de grenouille
big harpoonfish|Grand poisson-harpon
big pearl|Grande perle
big pirate hat|Grand chapeau de pirate
big shark|Grand requin
big snowball|Grande boule de neige
big swordfish|Grand espadon
binding book|Livre relié
binding fluid|Liquide de reliure
binding necklace|Collier relié
bird book|Livre sur les oiseaux
bird feed|Nourriture pour oiseaux
bird house|Nichoir
bird mask|Masque d'oiseau
bird nest|Nid d'oiseau
bird snare|Piège à oiseaux
bird snare pack|Pack de pièges à oiseaux
bird's egg|Œuf d'oiseau
birthday balloons|Ballons d'anniversaire
birthday cake|Gâteau d'anniversaire
birthday present|Cadeau d'anniversaire
bitter chocolate mix|Mélange de chocolat amer
bitter easter egg|Œuf de Pâques amer
bitternut|Noix amère
black 2h sword|Épée noire 2h
black amulet|Amulette noire
black axe|Hache noire
black axe head|Tête de hache noire
black battleaxe|Hache de combat noire
black bead|Perle noire
black beret|Béret noir
black boater|Canotier noir
black boots|Bottes noires
black bracelet|Bracelet noir
black brutal|Brutal noir
black butterfly wing|Aile de papillon noire
black candle|Bougie noire
black candy|Bonbon noir
black cane|Canne noire
black cape|Cape noire
black cavalier|Cavalier noir
black chainbody|Cotte de mailles noire
black chinchompa|Chinchompa noir
black claws|Griffes noires
black coffin|Cercueil noir
black cog|Roue dentée noire
black crystal|Cristal noir
black d'hide body|Corps en peau noire
black d'hide chaps|Jambières en cuir noir
black d'hide shield|Bouclier en cuir noir
black d'hide vambraces|Brassards en cuir noir
black dagger|Dague noire
black dart|Fléchette noire
black defender|Défenseur noir
black demon mask|Masque de démon noir
black desert robe|Robe noire du désert
black desert shirt|Chemise noire du désert
black destabiliser|Déstabilisateur noir
black dragon leather|Cuir de dragon noir
black dragon mask|Masque de dragon noir
black dragonhide|Peau de dragon noir
black dragonhide set|Ensemble en peau de dragon noir
black dye|Teinture noire
black elegant legs|Jambes élégantes noires
black elegant shirt|Chemise élégante noire
black felling axe|Hache de bûcheron noire
black flowers|Fleurs noires
black full helm|Casque intégral noir
black gloves|Gants noirs
black goblin mail|Cotte de mailles gobeline noire
black gold-trimmed set|Ensemble noir bordé d'or
black h'ween mask|Masque noir d'Halloween
black halberd|Hallebarde noire
black headband|Bandeau noir
black helm|Casque noir
black key black|Clé noire noire
black key brown|Clé noire brune
black key crimson|Clé noire cramoisie
black key purple|Clé noire violette
black key red|Clé noire rouge
black kiteshield|Bouclier noir en forme de cerf-volant
black knife|Couteau noir
black knight helm|Casque de chevalier noir
black leprechaun hat|Chapeau de lutin noir
black locks|Serrures noires
black longsword|Épée longue noire
black mace|Masse noire
black mask|Masque noir
black med helm|Casque noir
black mushroom|Champignon noir
black nails|Clous noirs
black naval shirt|Chemise noire marine
black navy slacks|Pantalon noir marine
black necklace|Collier noir
black partyhat|Chapeau de fête noir
black pick head|Tête de pioche noire
black pickaxe|Pioche noire
black platebody|Plate-forme noire
black platelegs|Jambières noires
black plateskirt|Jupe en plaques noire
black prism|Prisme noir
black ring|Bague noire
black robe|Robe noire
black salamander|Salamandre noire
black santa hat|Bonnet de Noël noir
black satchel|Sacoche noire
black scimitar|Cimeterre noir
black set|Ensemble noir
black shield|Bouclier noir
black skirt|Jupe noire
black slayer helmet|Casque de tueur noir
black spear|Lance noire
black spiky vambraces|Brassards pointus noirs
black sq shield|Bouclier carré noir
black staff of collection|Bâton de collection noir
black sword|Épée noire
black tourmaline core|Noyau de tourmaline noir
black toy horsey|Cheval jouet noir
black tricorn hat|Chapeau tricorne noir
black trimmed set|Ensemble noir bordé
black unicorn mask|Masque de licorne noir
black warhammer|Marteau de guerre noir
black warlock|Sorcier noir
black warlock mix|Mélange de sorcier noir
black wizard hat|Chapeau de sorcier noir
black wizard robe|Robe de sorcier noir
blackbird red|Merle noir
blackened crystal|Cristal noirci
blacksmith's helm|Casque de forgeron
blackstone fragment|Fragment de pierre noire
blade of saeldor|Lame de Saeldor
blamish bark shell|Coquille d'écorce de Blamish
blamish blue shell|Coquille bleue de Blamish
blamish myre shell|Coquillage de Blamish myre
blamish ochre shell|Coquillage de Blamish ocre
blamish oil|Huile de Blamish
blamish red shell|Coquillage de Blamish rouge
blamish snail slime|Bave d'escargot de Blamish
blank air rune|Rune d'air vierge
blank earth rune|Rune de terre vierge
blank fire rune|Rune de feu vierge
blank mind rune|Rune d'esprit vierge
blank paper hat|Chapeau de papier vierge
blank water rune|Rune d'eau vierge
blasted ore|Minerai brûlé
blazing blowpipe|Sarbacane enflammée
bleached bones|Os blanchis
blessed axe|Hache bénie
blessed babydragon bones|Os de bébé dragon bénis
blessed babywyrm bones|Os de bébé wyrm bénis
blessed bat bones|Os de chauve-souris bénis
blessed big bones|Grands os bénis
blessed bone shards|Éclats d'os bénis
blessed bone statuette|Statuette en os bénie
blessed bones|Os bénis
blessed crystal scarab|Scarabée de cristal béni
blessed dizana's quiver|Carquois béni de Dizana
blessed dragon bones|Os de dragon bénis
blessed drake bones|Os de drake bénis
blessed fayrg bones|Os de fayrg bénis
blessed frost dragon bones|Os de dragon de givre bénis
blessed gold bowl|Bol en or béni
blessed hydra bones|Os d'hydre bénis
blessed lamp|Lampe bénie
blessed lava dragon bones|Os de dragon de lave bénis
blessed ourg bones|Os d'ourg bénis
blessed pot|Pot béni
blessed raurg bones|Os de raurg bénis
blessed spirit shield|Bouclier spirituel béni
blessed strykewyrm bones|Os de strykewyrm bénis
blessed superior dragon bones|Os de dragon supérieur bénis
blessed water|Eau bénie
blessed wyrm bones|Os de wyrm bénis
blessed wyvern bones|Os de wyvern bénis
blessed zogre bones|Os de zogre bénis
blighted ancient ice sack|Sac de glace ancien blighté
blighted anglerfish|Blanche de mer blightée
blighted bind sack|Sac de ligature blighté
blighted entangle sack|Sac d'enchevêtrement blighté
blighted karambwan|Karambwan maudit
blighted manta ray|Raie manta maudite
blighted overload|Surcharge maudite
blighted snare sack|Sac de pièges maudit
blighted super restore|Super restauration maudite
blighted surge sack|Sac de vague blighté
blighted teleport spell sack|Sac de sort de téléportation blighté
blighted vengeance sack|Sac de vengeance blighté
blighted wave sack|Sac de vague blighté
blindweed|Blindweed
blindweed seed|Graine de blindweed
blisterwood flail|Fléau en bois de blisterwood
blisterwood logs|Bûches de blisterwood
blisterwood sickle|Faucille en bois de blisterwood
bloated toad|Crapaud gonflé
blood ancient sceptre|Sceptre ancien de sang
blood diamond|Diamant sanglant
blood essence|Essence sanglante
blood money|Argent sanglant
blood moon armour set|Ensemble d'armure de la lune sanglante
blood moon chestplate|Plastron de la lune sanglante
blood moon helm|Casque de la lune sanglante
blood moon tassets|Tassettes de la lune sanglante
blood nerve|Nerf sanglant
blood pint|Pinte de sang
blood potion|Potion de sang
blood quartz|Quartz sanglant
blood rune|Rune sanglante
blood shard|Éclat sanglant
blood talisman|Talisman sanglant
blood tiara|Diadème sanglant
blood tithe pouch|Pochette de dîme sanglante
blood'n'tar snelm|Snelm sanglant
bloodbark armour set|Ensemble d'armure écorce sanglante
bloodbark body|Corps écorce sanglante
bloodbark boots|Bottes écorce sanglante
bloodbark gauntlets|Gantelets écorce sanglante
bloodbark helm|Casque écorce sanglante
bloodbark legs|Jambes en écorce sanglante
bloodhound|Chien de sang
bloodier key|Clé sanglante
bloody bracer|Brassard sanglant
bloody diary|Journal sanglant
bloody grimoire|Grimoire sanglant
bloody head|Tête sanglante
bloody key|Clé sanglante
bloody knife|Couteau sanglant
bloody mourner top|Haut sanglant de pleureur
bloody notes|Notes sanglantes
bludgeon axon|Hache contondante
bludgeon claw|Griffe contondante
bludgeon spine|Épine contondante
blue beret|Béret bleu
blue boater|Canotier bleu
blue boots|Bottes bleues
blue bouncy ball|Balle rebondissante bleue
blue butterfly wing|Aile de papillon bleue
blue candy|Bonbon bleu
blue cape|Cape bleue
blue circle|Cercle bleu
blue cog|Roue dentée bleue
blue crab|Crabe bleu
blue crab meat|Chair de crabe bleu
blue crab paste|Pâte de crabe bleu
blue crystal|Cristal bleu
blue d'hide body|Corps en peau bleue
blue d'hide chaps|Jambières en peau bleue
blue d'hide shield|Bouclier en peau bleue
blue d'hide vambraces|Brassards en peau bleue
blue dark bow paint|Peinture bleue foncée pour arc
blue destabiliser|Déstabilisateur bleu
blue dragon leather|Cuir de dragon bleu
blue dragon mask|Masque de dragon bleu
blue dragon scale|Écaille de dragon bleue
blue dragonhide|Peau de dragon bleue
blue dragonhide set|Ensemble en peau de dragon bleue
blue dye|Teinture bleue
blue dye bellows|Soufflet de teinture bleue
blue egg|Œuf bleu
blue egg sac|Sac d'œufs bleus
blue elegant blouse|Blouse élégante bleue
blue elegant legs|Jambes élégantes bleues
blue elegant shirt|Chemise élégante bleue
blue elegant skirt|Jupe élégante bleue
blue feather|Plume bleue
blue firelighter|Allume-feu bleu
blue flowers|Fleurs bleues
blue gingerbread shield|Bouclier en pain d'épice bleu
blue goblin mail|Cotte de mailles gobeline bleue
blue halloween mask|Masque d'Halloween bleu
blue hat|Chapeau bleu
blue headband|Bandeau bleu
blue icon|Icône bleue
blue liquid|Liquide bleu
blue logs|Bûches bleues
blue marionette|Marionnette bleue
blue monkey|Singe bleu
blue moon armour set|Ensemble d'armure Blue Moon
blue moon chestplate|Plastron Blue Moon
blue moon helm|Casque bleu lune
blue moon spear|Lance bleu lune
blue moon tassets|Tassettes bleu lune
blue naval shirt|Chemise bleue marine
blue navy slacks|Pantalon bleu marine
blue paper hat|Chapeau en papier bleu
blue partyhat|Chapeau de fête bleu
blue pentagon|Pentagone bleu
blue rainbow strand|Fil arc-en-ciel bleu
blue robe bottoms|Bas de robe bleue
blue robe top|Haut de robe bleue
blue skirt|Jupe bleue
blue spiky vambraces|Vantards bleus pointus
blue square|Carré bleu
blue sweets|Bonbons bleus
blue thread|Fil bleu
blue toad|Crapaud bleu
blue triangle|Triangle bleu
blue tricorn hat|Chapeau tricorne bleu
blue tuna fin|Aileron de thon bleu
blue wizard hat|Chapeau de sorcier bleu
blue wizard robe|Robe de sorcier bleue
bluebells|Jacinthes
blueberry muffin|Muffin aux myrtilles
bluefin|Thon rouge
bluegill|Crapet arlequin
bluish key|Clé bleutée
blunt arrow|Flèche émoussée
blunt axe|Hache émoussée
blunt scimitars|Cimeterres émoussés
blurberry special|Spécial Blurberry
blurite bar|Barre de blurite
blurite bolts|Flèches en blurite
blurite crossbow|Arbalète en blurite
blurite limbs|Membres en blurite
blurite ore|Minerai de blurite
blurite sword|Épée en blurite
board game piece|Pion de jeu de société
boat bottle|Bouteille de bateau
bob|Bob
bob icon|Icône Bob
bob the cat slippers|Chaussons Bob le chat
bob's black shirt|Chemise noire de Bob
bob's blue shirt|Chemise bleue de Bob
bob's caged monkey|Singe en cage de Bob
bob's green shirt|Chemise verte de Bob
bob's print|Imprimé de Bob
bob's purple shirt|Chemise violette de Bob
bob's red shirt|Chemise rouge de Bob
bobble hat|Bonnet à pompon
bobble scarf|Écharpe à pompon
body core|Noyau corporel
body rune|Rune corporelle
body talisman|Talisman corporel
body tiara|Diadème corporel
bologa's blessing|Bénédiction de Bologa
bologano fruit|Fruit de Bologano
bologano seed|Graine de Bologano
bolt mould|Moule à rouleau
bolt of canvas|Rouleau de toile
bolt of cloth|Rouleau de tissu
bolt of cotton|Rouleau de coton
bolt of linen|Rouleau de lin
bolt pouch|Pochette à rouleaux
bolt rack|Rack à rouleaux
bomber cap|Casquette bomber
bomber jacket|Veste bomber
bone|Os
bone beads|Perles en os
bone bolt pack|Pack de boulons en os
bone bolts|Boulons en os
bone cage|Cage en os
bone charm|Charm en os
bone club|Massue en os
bone dagger|Dague en os
bone fragments|Fragments d'os
bone in vinegar|Os dans le vinaigre
bone key|Clé en os
bone mace|Massue en os
bone seeds|Graines en os
bone shard|Éclat d'os
bone shortbow|Arc court en os
bone spear|Lance en os
bone staff|Bâton en os
bonecrusher|Broyeur d'os
bonecrusher necklace|Collier broyeur d'os
bonemeal|Farine d'os
bones|Os
bones to bananas|Os contre bananes
bones to peaches|Os contre pêches
bonesack|Sac d'os
book|Livre
book about lighthouses|Livre sur les phares
book o' piracy|Livre sur la piraterie
book of 'h.a.m'|Livre sur « h.a.m »
book of arcane knowledge|Livre sur les connaissances arcaniques
book of balance|Livre sur l'équilibre
book of balance page set|Ensemble de pages du livre sur l'équilibre
book of darkness|Livre sur les ténèbres
book of darkness page set|Ensemble de pages du livre sur les ténèbres
book of egg|Livre sur les œufs
book of folklore|Livre sur le folklore
book of haricanto|Livre sur les haricanto
book of knowledge|Livre sur la connaissance
book of law|Livre sur la loi
book of law page set|Ensemble de pages du livre de la loi
book of portraiture|Livre de portraiture
book of spyology|Livre d'espionnage
book of the dead|Livre des morts
book of war|Livre de guerre
book of war page set|Ensemble de pages du livre de guerre
book on baxtorian|Livre sur le baxtorian
book on chemicals|Livre sur les produits chimiques
book on chickens|Livre sur les poulets
book on costumes|Livre sur les costumes
book page 1|Page 1 du livre
book page 2|Page 2 du livre
book page 3|Page 3 du livre
bookcase|Bibliothèque
boots of brimstone|Bottes de soufre
boots of darkness|Bottes des ténèbres
boots of lightness|Bottes de légèreté
boots of stone|Bottes de pierre
boots of the eye|Bottes de l'œil
boss helper tool|Outil d'aide au boss
boss lair display|Affichage du repaire du boss
botanical pie|Tarte botanique
bottle|Bouteille
bottle of 'tonic'|Bouteille de « tonique »
bottle of alco-sol|Bouteille d'alco-sol
bottle of almost smuggled rum|Bouteille de rhum presque de contrebande
bottle of alone at sea|Bouteille de solitude en mer
bottle of banana daiquiri|Bouteille de daiquiri à la banane
bottle of banker's draught|Bouteille de bière du banquier
bottle of barracuda brew|Bouteille de bière Barracuda
bottle of black lobster ale|Bouteille de bière au homard noir
bottle of captain cat's black rum|Bouteille de rhum noir du capitaine Cat
bottle of captain clop's mango gin|Bouteille de gin à la mangue du capitaine Clop
bottle of creator's cocktail|Bouteille de cocktail du créateur
bottle of crocodile tears|Bouteille de larmes de crocodile
